laboratory_procedure	measures	organ_or_tissue_function
mental_or_behavioral_dysfunction	affects	fungus
natural_phenomenon_or_process	issue_in	biomedical_occupation_or_discipline
therapeutic_or_preventive_procedure	prevents	disease_or_syndrome
mental_or_behavioral_dysfunction	affects	invertebrate
immunologic_factor	disrupts	embryonic_structure
receptor	causes	anatomical_abnormality
immunologic_factor	indicates	bacterium
experimental_model_of_disease	result_of	biologic_function
self_help_or_relief_organization	location_of	research_activity
pharmacologic_substance	isa	entity
pharmacologic_substance	treats	sign_or_symptom
organic_chemical	affects	mental_process
immunologic_factor	indicates	rickettsia_or_chlamydia
molecular_function	produces	receptor
cell_or_molecular_dysfunction	manifestation_of	genetic_function
regulation_or_law	isa	intellectual_product
cell_function	process_of	bacterium
nucleic_acid_nucleoside_or_nucleotide	interacts_with	pharmacologic_substance
human	isa	vertebrate
receptor	disrupts	body_part_organ_or_organ_component
eicosanoid	isa	entity
amino_acid_peptide_or_protein	interacts_with	element_ion_or_isotope
mental_process	produces	immunologic_factor
biologically_active_substance	complicates	cell_or_molecular_dysfunction
group_attribute	isa	conceptual_entity
organism_attribute	isa	conceptual_entity
finding	manifestation_of	neoplastic_process
congenital_abnormality	manifestation_of	biologic_function
hormone	disrupts	body_part_organ_or_organ_component
cell_component	affects	genetic_function
cell_component	part_of	cell
immunologic_factor	disrupts	cell
anatomical_structure	part_of	invertebrate
molecular_biology_research_technique	measures	cell_or_molecular_dysfunction
finding	evaluation_of	pathologic_function
experimental_model_of_disease	complicates	disease_or_syndrome
organism_attribute	manifestation_of	mental_process
acquired_abnormality	issue_in	occupation_or_discipline
diagnostic_procedure	diagnoses	injury_or_poisoning
biologic_function	process_of	cell_or_molecular_dysfunction
cell_or_molecular_dysfunction	manifestation_of	physiologic_function
tissue	part_of	animal
neoplastic_process	result_of	social_behavior
hazardous_or_poisonous_substance	affects	cell_or_molecular_dysfunction
regulation_or_law	isa	entity
organ_or_tissue_function	produces	receptor
chemical_viewed_functionally	causes	neoplastic_process
neoplastic_process	result_of	environmental_effect_of_humans
hormone	causes	cell_or_molecular_dysfunction
biologically_active_substance	affects	cell_or_molecular_dysfunction
eicosanoid	causes	pathologic_function
reptile	exhibits	behavior
family_group	exhibits	behavior
clinical_attribute	result_of	experimental_model_of_disease
therapeutic_or_preventive_procedure	treats	sign_or_symptom
virus	location_of	biologically_active_substance
indicator_reagent_or_diagnostic_aid	ingredient_of	clinical_drug
sign_or_symptom	manifestation_of	congenital_abnormality
clinical_attribute	result_of	molecular_function
antibiotic	causes	anatomical_abnormality
chemical_viewed_structurally	interacts_with	vitamin
cell_or_molecular_dysfunction	result_of	mental_process
body_space_or_junction	location_of	physiologic_function
pathologic_function	process_of	amphibian
organism_function	affects	clinical_attribute
hormone	complicates	cell_function
amphibian	interacts_with	fish
diagnostic_procedure	measures	carbohydrate
organ_or_tissue_function	result_of	molecular_function
eicosanoid	interacts_with	neuroreactive_substance_or_biogenic_amine
molecular_function	affects	mental_process
health_care_related_organization	produces	regulation_or_law
pathologic_function	co-occurs_with	anatomical_abnormality
fish	interacts_with	reptile
pharmacologic_substance	prevents	neoplastic_process
physiologic_function	process_of	plant
congenital_abnormality	co-occurs_with	acquired_abnormality
animal	issue_in	occupation_or_discipline
nucleic_acid_nucleoside_or_nucleotide	interacts_with	lipid
acquired_abnormality	manifestation_of	mental_process
anatomical_structure	location_of	rickettsia_or_chlamydia
self_help_or_relief_organization	isa	organization
cell_or_molecular_dysfunction	degree_of	experimental_model_of_disease
hormone	affects	organ_or_tissue_function
neoplastic_process	occurs_in	mental_or_behavioral_dysfunction
cell_function	affects	plant
cell_or_molecular_dysfunction	affects	vertebrate
family_group	issue_in	occupation_or_discipline
clinical_attribute	property_of	animal
disease_or_syndrome	complicates	acquired_abnormality
self_help_or_relief_organization	manages	patient_or_disabled_group
injury_or_poisoning	disrupts	cell
cell_component	affects	organism_function
physiologic_function	produces	receptor
biologically_active_substance	causes	neoplastic_process
mental_process	result_of	environmental_effect_of_humans
antibiotic	treats	injury_or_poisoning
biologic_function	process_of	experimental_model_of_disease
lipid	interacts_with	chemical
plant	interacts_with	invertebrate
organization	produces	classification
physiologic_function	process_of	genetic_function
virus	causes	disease_or_syndrome
molecular_function	affects	natural_phenomenon_or_process
sign_or_symptom	manifestation_of	biologic_function
laboratory_procedure	assesses_effect_of	molecular_function
therapeutic_or_preventive_procedure	method_of	occupation_or_discipline
animal	interacts_with	fish
body_part_organ_or_organ_component	isa	physical_object
genetic_function	process_of	natural_phenomenon_or_process
plant	interacts_with	organism
gene_or_genome	location_of	fungus
physiologic_function	process_of	cell_or_molecular_dysfunction
sign_or_symptom	evaluation_of	molecular_function
disease_or_syndrome	process_of	biologic_function
laboratory_or_test_result	measurement_of	chemical_viewed_structurally
organ_or_tissue_function	affects	bacterium
mental_or_behavioral_dysfunction	occurs_in	age_group
cell_or_molecular_dysfunction	precedes	mental_or_behavioral_dysfunction
spatial_concept	issue_in	biomedical_occupation_or_discipline
immunologic_factor	complicates	congenital_abnormality
finding	manifestation_of	injury_or_poisoning
rickettsia_or_chlamydia	causes	mental_or_behavioral_dysfunction
disease_or_syndrome	manifestation_of	mental_process
body_substance	consists_of	lipid
neoplastic_process	complicates	acquired_abnormality
laboratory_procedure	measures	immunologic_factor
molecular_biology_research_technique	associated_with	anatomical_abnormality
cell	location_of	cell_or_molecular_dysfunction
disease_or_syndrome	process_of	bacterium
patient_or_disabled_group	performs	activity
intellectual_product	conceptual_part_of	diagnostic_procedure
organism_function	result_of	organ_or_tissue_function
population_group	performs	occupational_activity
disease_or_syndrome	degree_of	neoplastic_process
diagnostic_procedure	analyzes	chemical
cell_function	affects	natural_phenomenon_or_process
amphibian	isa	animal
eicosanoid	affects	cell_or_molecular_dysfunction
clinical_attribute	result_of	environmental_effect_of_humans
biologic_function	process_of	disease_or_syndrome
tissue	produces	receptor
chemical_viewed_functionally	isa	substance
neuroreactive_substance_or_biogenic_amine	affects	experimental_model_of_disease
enzyme	complicates	anatomical_abnormality
hazardous_or_poisonous_substance	affects	pathologic_function
laboratory_procedure	diagnoses	disease_or_syndrome
anatomical_abnormality	location_of	cell_or_molecular_dysfunction
neoplastic_process	manifestation_of	organism_function
congenital_abnormality	affects	archaeon
biologic_function	affects	vertebrate
cell_component	location_of	organism_function
immunologic_factor	affects	natural_phenomenon_or_process
gene_or_genome	produces	biologically_active_substance
element_ion_or_isotope	causes	experimental_model_of_disease
cell_function	result_of	human_caused_phenomenon_or_process
experimental_model_of_disease	result_of	organ_or_tissue_function
research_activity	measures	chemical
mental_process	process_of	organism_function
antibiotic	diagnoses	experimental_model_of_disease
geographic_area	associated_with	anatomical_abnormality
tissue	location_of	bacterium
disease_or_syndrome	result_of	environmental_effect_of_humans
injury_or_poisoning	result_of	behavior
clinical_attribute	isa	entity
congenital_abnormality	isa	anatomical_abnormality
cell_or_molecular_dysfunction	complicates	congenital_abnormality
body_substance	consists_of	organophosphorus_compound
mental_process	affects	cell_or_molecular_dysfunction
professional_society	carries_out	molecular_biology_research_technique
organophosphorus_compound	interacts_with	indicator_reagent_or_diagnostic_aid
pathologic_function	complicates	neoplastic_process
clinical_attribute	property_of	virus
disease_or_syndrome	manifestation_of	molecular_function
cell_or_molecular_dysfunction	process_of	neoplastic_process
enzyme	disrupts	genetic_function
laboratory_procedure	assesses_effect_of	chemical_viewed_functionally
mental_or_behavioral_dysfunction	associated_with	clinical_attribute
body_location_or_region	location_of	body_part_organ_or_organ_component
neoplastic_process	affects	animal
research_activity	method_of	biomedical_occupation_or_discipline
injury_or_poisoning	complicates	mental_or_behavioral_dysfunction
amino_acid_peptide_or_protein	affects	molecular_function
therapeutic_or_preventive_procedure	isa	event
pathologic_function	precedes	disease_or_syndrome
mental_or_behavioral_dysfunction	co-occurs_with	acquired_abnormality
neoplastic_process	process_of	rickettsia_or_chlamydia
organic_chemical	causes	pathologic_function
cell_or_molecular_dysfunction	process_of	alga
experimental_model_of_disease	process_of	virus
neuroreactive_substance_or_biogenic_amine	affects	natural_phenomenon_or_process
acquired_abnormality	part_of	reptile
health_care_related_organization	location_of	therapeutic_or_preventive_procedure
neoplastic_process	isa	natural_phenomenon_or_process
cell_or_molecular_dysfunction	occurs_in	neoplastic_process
nucleic_acid_nucleoside_or_nucleotide	issue_in	occupation_or_discipline
pathologic_function	process_of	fish
cell	part_of	rickettsia_or_chlamydia
neoplastic_process	degree_of	mental_or_behavioral_dysfunction
neoplastic_process	occurs_in	patient_or_disabled_group
organism_function	affects	cell_function
element_ion_or_isotope	causes	pathologic_function
immunologic_factor	disrupts	mental_process
cell_component	affects	molecular_function
animal	issue_in	biomedical_occupation_or_discipline
anatomical_abnormality	result_of	mental_or_behavioral_dysfunction
mental_or_behavioral_dysfunction	isa	natural_phenomenon_or_process
acquired_abnormality	part_of	mammal
professional_or_occupational_group	produces	research_device
laboratory_or_test_result	associated_with	neoplastic_process
enzyme	affects	natural_phenomenon_or_process
diagnostic_procedure	diagnoses	neoplastic_process
disease_or_syndrome	co-occurs_with	experimental_model_of_disease
biologic_function	produces	vitamin
laboratory_procedure	assesses_effect_of	inorganic_chemical
body_part_organ_or_organ_component	location_of	mental_or_behavioral_dysfunction
diagnostic_procedure	isa	health_care_activity
therapeutic_or_preventive_procedure	complicates	physiologic_function
professional_or_occupational_group	issue_in	occupation_or_discipline
neoplastic_process	degree_of	disease_or_syndrome
invertebrate	causes	disease_or_syndrome
disease_or_syndrome	co-occurs_with	pathologic_function
cell_component	part_of	bird
molecular_function	affects	organism
chemical_viewed_functionally	interacts_with	chemical
chemical_viewed_structurally	isa	physical_object
disease_or_syndrome	isa	phenomenon_or_process
experimental_model_of_disease	manifestation_of	pathologic_function
experimental_model_of_disease	isa	pathologic_function
population_group	produces	manufactured_object
organic_chemical	interacts_with	antibiotic
age_group	uses	clinical_drug
injury_or_poisoning	result_of	diagnostic_procedure
plant	isa	entity
mental_process	affects	animal
diagnostic_procedure	assesses_effect_of	antibiotic
diagnostic_procedure	affects	neoplastic_process
human_caused_phenomenon_or_process	result_of	anatomical_abnormality
experimental_model_of_disease	complicates	cell_or_molecular_dysfunction
phenomenon_or_process	result_of	acquired_abnormality
pathologic_function	result_of	therapeutic_or_preventive_procedure
mental_or_behavioral_dysfunction	affects	biologic_function
diagnostic_procedure	measures	disease_or_syndrome
immunologic_factor	affects	disease_or_syndrome
immunologic_factor	indicates	virus
laboratory_procedure	assesses_effect_of	receptor
organophosphorus_compound	affects	molecular_function
therapeutic_or_preventive_procedure	affects	molecular_function
lipid	interacts_with	biologically_active_substance
intellectual_product	isa	conceptual_entity
phenomenon_or_process	result_of	mental_or_behavioral_dysfunction
